Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
13,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Mirafiori lettuce big-vein ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183950
14,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Ranunculus white mottle ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183951
15,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Tulip mild mottle mosaic ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183952
16,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Argas mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186041
17,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Barnacle mivirus,1,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186042
18,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Beetle mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186043
19,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Bole mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186044
20,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Brunnich mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186045
21,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Changping mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186046
22,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Charybdis mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186047
23,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Cockroach mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186048
24,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Crab mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186049
25,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Crustacean mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186050
26,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Dermacentor mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186051
27,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hermit mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186053
28,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hippoboscid mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186054
29,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hubei mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186055
30,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Hubei odonate mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186056
31,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Imjin mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186057
32,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lacewing mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186058
33,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lishi mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186059
34,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Lonestar mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186060
35,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Louse fly mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186061
36,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Mosquito mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186062
37,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Myriapod mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186063
38,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Odonate mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186064
39,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Sanxia mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186065
40,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Shayang mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186066
41,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Suffolk mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186067
42,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Wenling mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186068
43,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Wuhan mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186069
44,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Jingchuvirales,,Chuviridae,,Mivirus,,Xinzhou mivirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186070
45,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Barnacle peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186269
46,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Beihai peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186272
47,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Hubei peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186271
48,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Odonate peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186270
49,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Pillworm peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186274
50,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Pteromalus puparum peropuvirus,1,ssRNA(-),"Moved,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20181583
51,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Artoviridae,,Peropuvirus,,Woodlouse peropuvirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186273
52,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Carbovirus,,Queensland carbovirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185571
53,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Carbovirus,,Southwest carbovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185572
54,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Elapid 1 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181552
55,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Mammalian 1 orthobornavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181553
56,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Mammalian 2 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181554
57,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Passeriform 1 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181555
58,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Passeriform 2 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181556
59,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Psittaciform 1 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181557
60,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Psittaciform 2 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181558
61,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Bornaviridae,,Orthobornavirus,,Waterbird 1 orthobornavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181559
62,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Cuevavirus,,Lloviu cuevavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181563
63,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Bundibugyo ebolavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181565
64,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Reston ebolavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181566
65,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Sudan ebolavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181567
66,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Tai Forest ebolavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181568
67,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Ebolavirus,,Zaire ebolavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181569
68,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Filoviridae,,Marburgvirus,,Marburg marburgvirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181571
69,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Gerrid arlivirus,0,ssRNA(-),"Renamed,Moved,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20181820
70,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Hubei arlivirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186266
71,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Lishi arlivirus,1,ssRNA(-),"Moved,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20181814
72,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Odonate arlivirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186268
73,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Tacheng arlivirus,0,ssRNA(-),"Renamed,Moved,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20181816
74,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Lispiviridae,,Arlivirus,,Wuchang arlivirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186267
75,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Dadou sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186247
76,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Drop sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186248
77,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Glycine sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186243
78,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Hubei sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186246
79,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Illinois sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186244
80,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Phyllosphere sclerotimonavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186245
81,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Mymonaviridae,,Sclerotimonavirus,,Sclerotinia sclerotimonavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181575
82,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Beihai berhavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186257
83,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Echinoderm berhavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186258
84,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Berhavirus,,Sipunculid berhavirus,1,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186256
85,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Beihai crustavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186250
86,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Wenling crustavirus,0,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186249
87,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Crustavirus,,Wenzhou crustavirus,1,ssRNA(-),"Moved,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20181818
88,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Midway nyavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181579
89,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Nyamanini nyavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181580
90,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Nyavirus,,Sierra Nevada nyavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181581
91,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Orinovirus,,Orinoco orinovirus,1,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186252
92,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Socyvirus,,Soybean cyst nematode socyvirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181585
93,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Nyamiviridae,,Tapwovirus,,Tapeworm tapwovirus,1,ssRNA(-),"New,",33,2017.016M.A.v3.Mononegavirales.zip,ICTVonline=20186254
94,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Aquaparamyxovirus,,Salmon aquaparamyxovirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181589
95,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 1,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181591
96,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 2,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181592
97,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 3,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181593
98,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 4,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181594
99,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 5,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181595
100,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 6,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181596
101,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 7,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181597
102,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 8,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181598
103,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 9,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181599
104,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 10,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181600
105,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 11,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181601
106,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 12,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181602
107,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 13,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20181603
108,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 14,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185574
109,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 15,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185575
110,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 16,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185576
111,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 17,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185577
112,,,,,Negarnaviricota,Haploviricotina,Monjiviricetes,,Mononegavirales,,Paramyxoviridae,,Avulavirus,,Avian avulavirus 18,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185578
